lab,subid,session_error_type_recoded,lab_mb1,subid_mb1,session_error_type_recoded_mb1
,,,dcnlabtennessee,dcnlabtennessee_mb038,experimenter error
,,,dcnlabtennessee,dcnlabtennessee_mb039,equipment failure
,,,earlysocogfm,earlysocogfm_p03,equipment failure
,,,earlysocogfm,earlysocogfm_s01,equipment failure
,,,earlysocogfm,earlysocogfm_s27,outside interference
,,,earlysocogfm,earlysocogfm_s48,experimenter error
,,,ethosrennes,ethosrennes_jq489,equipment failure
,,,ethosrennes,ethosrennes_jy418,equipment failure
,,,ethosrennes,ethosrennes_kb850,equipment failure
,,,ethosrennes,ethosrennes_oh798,equipment failure
,,,ethosrennes,ethosrennes_st511,equipment failure
,,,ethosrennes,ethosrennes_vf264,equipment failure
,,,ethosrennes,ethosrennes_wh817,equipment failure
,,,ethosrennes,ethosrennes_xp276,equipment failure
,,,ethosrennes,ethosrennes_yj539,equipment failure
,,,infantcoglablouisville,infantcoglablouisville_2345802,experimenter error
,,,infantcogubc,infantcogubc_am19,experimenter error
,,,infantcogubc,infantcogubc_ew07,experimenter error
,,,infantcogubc,infantcogubc_js28,equipment failure
,,,infantcogubc,infantcogubc_mk06,equipment failure
,,,infantcogubc,infantcogubc_qd38,experimenter error
,,,infantcogubc,infantcogubc_rc16,experimenter error
,,,infantlanglabutk,infantlanglabutk_mb1r131fs3,equipment failure
,,,infantlanglabutk,infantlanglabutk_mb1r141ms13,equipment failure
,,,infantlanglabutk,infantlanglabutk_mb1r143fs11,equipment failure
,,,infantlanglabutk,infantlanglabutk_mb1r144fs8,equipment failure
,,,infantlanglabutk,infantlanglabutk_mbir133fs8,equipment failure
,,,infantlanglabutk,infantlanglabutk_mbir134fs10,equipment failure
,,,irlconcordia,irlconcordia_mb12s01,experimenter error
,,,irlconcordia,irlconcordia_mb12s03,experimenter error
,,,isplabmcgill,isplabmcgill_m21,experimenter error
,,,isplabmcgill,isplabmcgill_m26,experimenter error
,,,jmucdl,jmucdl_40006,equipment failure
,,,jmucdl,jmucdl_40012,outside interference
,,,jmucdl,jmucdl_40017,equipment failure
,,,kokuhamburg,kokuhamburg_mb15,equipment failure
,,,kokuhamburg,kokuhamburg_mb16,equipment failure
,,,kokuhamburg,kokuhamburg_mb25,equipment failure
,,,kokuhamburg,kokuhamburg_mb31,equipment failure
,,,kokuhamburg,kokuhamburg_mb33,equipment failure
,,,kokuhamburg,kokuhamburg_mb34,equipment failure
,,,kyotobabylab,kyotobabylab_kbl025,experimenter error
,,,lancaster,lancaster_14mb23,equipment failure
,,,lancaster,lancaster_8mb19,outside interference
,,,lancaster,lancaster_8mb23,outside interference
,,,langlabucla,langlabucla_mb903,outside interference
,,,lcdfsu,lcdfsu_lcd025,equipment failure
,,,lcdfsu,lcdfsu_lcd030,outside interference
,,,lcduleeds,lcduleeds_mb15,equipment failure
,,,ldlottawa,ldlottawa_mbms01,experimenter error
,,,ldlottawa,ldlottawa_mbms02,experimenter error
,,,ldlottawa,ldlottawa_mbms06,experimenter error
,,,ldlottawa,ldlottawa_mbms22,experimenter error
,,,ldlottawa,ldlottawa_mbms26,experimenter error
,,,ldlottawa,ldlottawa_mbms27,experimenter error
,,,ldlottawa,ldlottawa_mbms37,experimenter error
,,,ldlottawa,ldlottawa_mbms38,experimenter error
,,,ldlottawa,ldlottawa_mbms48,outside interference
,,,ldlottawa,ldlottawa_mbms51,experimenter error
,,,ldlottawa,ldlottawa_mbms66,equipment failure
,,,ldlottawa,ldlottawa_mbms67,outside interference
,,,ldlottawa,ldlottawa_mbms75,experimenter error
,,,ldlottawa,ldlottawa_mbms76,experimenter error
,,,ldlottawa,ldlottawa_mbms77,experimenter error
,,,lllliv,lllliv_mb035,experimenter error
,,,lllliv,lllliv_mbp4,outside interference
,,,lscppsl,lscppsl_10lscppsl,equipment failure
,,,madlabucsd,madlabucsd_mb01,experimenter error
,,,madlabucsd,madlabucsd_mb08,equipment failure
,,,musdevutm,musdevutm_mb01pilot,experimenter error
,,,musdevutm,musdevutm_mb02pilot,experimenter error
,,,musdevutm,musdevutm_mb03pilot,experimenter error
