language_pairs,language_pairs_ordered
albanian ; non_nae_english,albanian ; non_nae_english
albanian ; swissgerman,albanian ; swissgerman
arabic ; german,arabic ; german
arabic ; nae_english,arabic ; nae_english
bahasa ; non_nae_english,bahasa ; non_nae_english
cantonese ; german,cantonese ; german
cantonese ; nae_english,cantonese ; nae_english
cantonese ; non_nae_english,cantonese ; non_nae_english
finnish ; german,finnish ; german
finnish ; swissgerman,finnish ; swissgerman
french ; arabic,arabic ; french
french ; armenian,armenian ; french
french ; dutch,dutch ; french
french ; georgian,french ; georgian
french ; german,french ; german
french ; hungarian,french ; hungarian
french ; italian,french ; italian
french ; korean,french ; korean
french ; lebanese,french ; lebanese
french ; NA,french ; NA
french ; nae_english,french ; nae_english
french ; non_nae_english,french ; non_nae_english
french ; persian,french ; persian
french ; polish,french ; polish
french ; portugese,french ; portugese
french ; portuguese,french ; portuguese
french ; romanian,french ; romanian
french ; russian,french ; russian
french ; spanish,french ; spanish
french ; swissgerman,french ; swissgerman
german ; bulgarian,bulgarian ; german
german ; french,french ; german
german ; NA,german ; NA
german ; nae_english,german ; nae_english
german ; non_nae_english,german ; non_nae_english
german ; russian,german ; russian
greek ; non_nae_english,greek ; non_nae_english
greek ; swissgerman,greek ; swissgerman
hebrew ; hungarian,hebrew ; hungarian
hebrew ; nae_english,hebrew ; nae_english
hungarian ; french,french ; hungarian
hungarian ; german,german ; hungarian
hungarian ; hebrew,hebrew ; hungarian
hungarian ; italian,hungarian ; italian
hungarian ; NA,hungarian ; NA
hungarian ; nae_english,hungarian ; nae_english
hungarian ; non_nae_english,hungarian ; non_nae_english
hungarian ; russian,hungarian ; russian
hungarian ; spanish,hungarian ; spanish
italian ; french,french ; italian
italian ; non_nae_english,italian ; non_nae_english
italian ; swissgerman,italian ; swissgerman
japanese ; non_nae_english,japanese ; non_nae_english
kabyle ; french,french.; kabyle
khmer ; non_nae_english,khmer ; non_nae_english
korean ; nae_english,korean ; nae_english
kurdish ; german,german ; kurdish
lithuanian ; german,german ; lithuanian
mandarin ; french,french ; mandarin
mandarin ; nae_english,mandarin ; nae_english
mandarin ; non_nae_english,mandarin ; non_nae_english
nae_english ; belizean creole,belizean creole ; nae_english
nae_english ; cantonese,cantonese ; nae_english
nae_english ; french,french ; nae_english
nae_english ; hebrew,hebrew ; nae_english
nae_english ; indonesian,indonesian ; nae_english
nae_english ; italian,italian ; nae_english
nae_english ; korean,korean ; nae_english
nae_english ; malayalam,malayalam ; nae_english
nae_english ; mandarin,mandarin ; nae_english
nae_english ; NA,NA ; nae_english
nae_english ; persian,nae_english ; persian
nae_english ; polish,nae_english ; polish
nae_english ; punjabi,nae_english ; punjabi
nae_english ; russian,nae_english ; russian
nae_english ; spanish,nae_english ; spanish
nae_english ; swedish,nae_english ; swedish
nae_english ; tagalog,nae_english ; tagalog
nae_english ; telugu,nae_english ; telugu
nae_english ; urdu,nae_english ; urdu
non_nae_english ; arabic,arabic ; non_nae_english
non_nae_english ; bengali,bengali ; non_nae_english
non_nae_english ; bosnian,bosnian ; non_nae_english
non_nae_english ; farsi,farsi ; non_nae_english
non_nae_english ; french,french ; non_nae_english
non_nae_english ; german,german ; non_nae_english
non_nae_english ; hindi,hindi ; non_nae_english
non_nae_english ; hungarian,hungarian ; non_nae_english
non_nae_english ; indonesian,indonesian ; non_nae_english
non_nae_english ; japanese,japanese ; non_nae_english
non_nae_english ; mandarin,mandarin ; non_nae_english
non_nae_english ; NA,NA ; non_nae_english
non_nae_english ; nepali,nepali ; non_nae_english
non_nae_english ; patois,non_nae_english ; patois
non_nae_english ; polish,non_nae_english ; polish
non_nae_english ; portuguese,non_nae_english ; portuguese
non_nae_english ; punjabi,non_nae_english ; punjabi
non_nae_english ; russian,non_nae_english ; russian
non_nae_english ; spanish,non_nae_english ; spanish
non_nae_english ; swissgerman,non_nae_english ; swissgerman
non_nae_english ; tagalog,non_nae_english ; tagalog
non_nae_english ; turkish,non_nae_english ; turkish
non_nae_english ; ukrainean,non_nae_english ; ukrainean
non_nae_english ; urdu,non_nae_english ; urdu
non_nae_english ; vietnamese,non_nae_english ; vietnamese
non_nae_english ; welsh,non_nae_english ; welsh
non_nae_english ; wu,non_nae_english ; wu
polish ; german,german ; polish
polish ; non_nae_english,non_nae_english ; polish
portuguese ; non_nae_english,non_nae_english ; portuguese
portuguese ; swissgerman,portuguese ; swissgerman
punjabi ; nae_english,nae_english ; punjabi
romansh ; swissgerman,romansh ; swissgerman
russian ; german,german ; russian
russian ; nae_english,nae_english ; russian
serbian ; swissgerman,serbian ; swissgerman
slovenian ; non_nae_english,non_nae_english ; slovenian
spanish ; french,french ; spanish
spanish ; nae_english,nae_english ; spanish
spanish ; non_nae_english,non_nae_english ; spanish
spanish ; swissgerman,spanish ; swissgerman
swissgerman ; french,french ; swissgerman
swissgerman ; italian,italian ; swissgerman
swissgerman ; NA,NA ; swissgerman
swissgerman ; nae_english,nae_english ; swissgerman
swissgerman ; non_nae_english,non_nae_english ; swissgerman
swissgerman ; slowenian,slowenian ; swissgerman
swissgerman ; spanish,spanish ; swissgerman
swissgerman ; turkish,swissgerman ; turkish
tagalog ; nae_english,nae_english ; tagalog
tamil ; non_nae_english,non_nae_english ; tamil
welsh ; non_nae_english,non_nae_english ; welsh
