lab,subid,subid_unique,trial_order,trial_num,stimulus_num,method,age_days,age_mo,age_group,nae,gender,second_session,missing,parenta_gender,parentb_gender,parenta_education,parentb_education,bilingual_nae,lang2,lang3,lang4,bilingual_parenta_nae,bilingual_parentb_nae,bilingual_interview_lang,lang_group,SES,nae_exp,trial_error,session_error,lang1,lang1_exposure,lang2_exposure,lang3_exposure,lang4_exposure,pilot,bilingual_exposure,comm_lang_learn,monolingual_exposure,td,full_term,session_error_type_recoded,trial_error_recoded,out_of_age,ADS,IDS,diff
babylabbrookes,mb35_babylabbrookes,babylabbrookes:mb35,1,1,1,singlescreen,188,6.176591375770021,6-9 mo,FALSE,F,FALSE,FALSE,FALSE,M,16,18,NA,NA,NA,NA,NA,NA,NA,monolingual,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.62,9.87,2.249999999999999
babylabbrookes,mb36_babylabbrookes,babylabbrookes:mb36,3,1,5,singlescreen,216,7.096509240246407,6-9 mo,FALSE,F,FALSE,FALSE,FALSE,M,17,12,NA,NA,NA,NA,NA,NA,NA,monolingual,17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.92,8.88,1.9600000000000009
babylabbrookes,mb42_babylabbrookes,babylabbrookes:mb42,2,1,1,singlescreen,228,7.490759753593429,6-9 mo,FALSE,M,FALSE,FALSE,FALSE,M,18,18,NA,NA,NA,NA,NA,NA,NA,monolingual,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.36,17.66,0.3000000000000007
babylabbrookes,mb45_babylabbrookes,babylabbrookes:mb45,1,1,1,singlescreen,212,6.965092402464066,6-9 mo,FALSE,M,FALSE,FALSE,FALSE,M,20,17,NA,NA,NA,NA,NA,NA,NA,monolingual,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.31,17.15,-0.16000000000000014
babylabbrookes,mb46_babylabbrookes,babylabbrookes:mb46,1,1,1,singlescreen,445,14.620123203285422,12-15 mo,FALSE,F,FALSE,FALSE,FALSE,M,12,16,NA,NA,NA,NA,NA,NA,NA,monolingual,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.23,17.44,11.21
babylabbrookes,mb48_babylabbrookes,babylabbrookes:mb48,4,1,5,singlescreen,269,8.837782340862423,6-9 mo,FALSE,NA,FALSE,FALSE,FALSE,M,20,18,NA,NA,NA,NA,NA,NA,NA,monolingual,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.55,17.59,0.03999999999999915
babylabbrookes,mb50_babylabbrookes,babylabbrookes:mb50,2,1,1,singlescreen,255,8.37782340862423,6-9 mo,FALSE,F,FALSE,FALSE,FALSE,M,18,18,NA,NA,NA,NA,NA,NA,NA,monolingual,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.74,14.2,7.459999999999999
babylabbrookes,mb53_babylabbrookes,babylabbrookes:mb53,4,1,5,singlescreen,453,14.882956878850102,12-15 mo,FALSE,F,FALSE,FALSE,FALSE,M,16,20,NA,NA,NA,NA,NA,NA,NA,monolingual,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.54,2.97,0.43000000000000016
babylabbrookes,mb54_babylabbrookes,babylabbrookes:mb54,1,1,1,singlescreen,199,6.537987679671458,6-9 mo,FALSE,F,FALSE,FALSE,FALSE,M,12,NA,NA,NA,NA,NA,NA,NA,NA,monolingual,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.65,13.4,6.75
babylabbrookes,mb55_babylabbrookes,babylabbrookes:mb55,2,1,1,singlescreen,424,13.930184804928132,12-15 mo,FALSE,M,FALSE,FALSE,FALSE,M,20,18,NA,NA,NA,NA,NA,NA,NA,monolingual,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.59,17.51,-0.0799999999999983
babylabbrookes,mb60_babylabbrookes,babylabbrookes:mb60,3,1,1,singlescreen,375,12.320328542094456,12-15 mo,FALSE,M,FALSE,FALSE,FALSE,M,18,20,NA,NA,NA,NA,NA,NA,NA,monolingual,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.43,5.62,1.1900000000000004
babylabbrookes,mb66_babylabbrookes,babylabbrookes:mb66,2,1,1,singlescreen,409,13.437371663244353,12-15 mo,FALSE,F,FALSE,FALSE,FALSE,M,18,18,NA,NA,NA,NA,NA,NA,NA,monolingual,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,9.2,6.299999999999999
babylabbrookes,mb74_babylabbrookes,babylabbrookes:mb74,1,1,1,singlescreen,446,14.652977412731007,12-15 mo,FALSE,F,FALSE,FALSE,FALSE,M,16,20,NA,NA,NA,NA,NA,NA,NA,monolingual,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.69,13.85,9.16
babylabbrookes,mb77_babylabbrookes,babylabbrookes:mb77,1,1,1,singlescreen,193,6.3408624229979464,6-9 mo,FALSE,M,FALSE,FALSE,FALSE,M,20,20,NA,NA,NA,NA,NA,NA,NA,monolingual,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.41,9.06,0.6500000000000004
babylabbrookes,mb78_babylabbrookes,babylabbrookes:mb78,2,1,1,singlescreen,234,7.687885010266941,6-9 mo,FALSE,M,FALSE,FALSE,FALSE,M,16,10,NA,NA,NA,NA,NA,NA,NA,monolingual,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.43,17.55,0.120000000000001
babylabbrookes,mb79_babylabbrookes,babylabbrookes:mb79,3,1,5,singlescreen,218,7.162217659137577,6-9 mo,FALSE,M,FALSE,FALSE,FALSE,M,12,10,NA,NA,NA,NA,NA,NA,NA,monolingual,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.52,6.44,1.9200000000000008
babylabbrookes,mb80_babylabbrookes,babylabbrookes:mb80,4,1,5,singlescreen,270,8.870636550308008,6-9 mo,FALSE,F,FALSE,FALSE,FALSE,M,18,20,NA,NA,NA,NA,NA,NA,NA,monolingual,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.18,7.7,0.5200000000000005
babylabbrookes,mb84_babylabbrookes,babylabbrookes:mb84,2,1,1,singlescreen,422,13.86447638603696,12-15 mo,FALSE,F,FALSE,FALSE,FALSE,M,12,10,NA,NA,NA,NA,NA,NA,NA,monolingual,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.72,3.7,-1.0199999999999996
babylabbrookes,mb88_babylabbrookes,babylabbrookes:mb88,4,1,5,singlescreen,381,12.517453798767967,12-15 mo,FALSE,F,FALSE,FALSE,FALSE,M,16,20,NA,NA,NA,NA,NA,NA,NA,monolingual,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.19,3.56,-4.629999999999999
babylabbrookes,mb90_babylabbrookes,babylabbrookes:mb90,2,1,1,singlescreen,262,8.607802874743326,6-9 mo,FALSE,M,FALSE,FALSE,FALSE,M,18,18,NA,NA,NA,NA,NA,NA,NA,monolingual,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.66,12.83,1.17
babylabkingswood,mb1255_babylabkingswood,babylabkingswood:mb1255,2,1,1,hpp,449,14.751540041067761,12-15 mo,FALSE,M,FALSE,FALSE,FALSE,M,15,16,NA,NA,NA,NA,NA,NA,NA,monolingual,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA
babylabkingswood,mb1882_babylabkingswood,babylabkingswood:mb1882,4,1,5,hpp,401,13.174537987679672,12-15 mo,FALSE,M,FALSE,FALSE,FALSE,M,16,15,NA,NA,NA,NA,NA,NA,NA,monolingual,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.492,18,6.507999999999999
babylabkingswood,mb1920_babylabkingswood,babylabkingswood:mb1920,1,1,1,hpp,413,13.568788501026694,12-15 mo,FALSE,M,FALSE,FALSE,FALSE,M,15,12,NA,NA,NA,NA,NA,NA,NA,monolingual,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.053,5.333,-11.72
babylabkingswood,mb8399_babylabkingswood,babylabkingswood:mb8399,4,1,5,hpp,377,12.386036960985626,12-15 mo,FALSE,F,FALSE,FALSE,FALSE,M,16,16,NA,NA,NA,NA,NA,NA,NA,monolingual,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.871,6.871,-8
babylabkingswood,mb8502_babylabkingswood,babylabkingswood:mb8502,1,1,1,hpp,402,13.207392197125257,12-15 mo,FALSE,F,FALSE,FALSE,FALSE,M,18,17,NA,NA,NA,NA,NA,NA,NA,monolingual,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.745,2.014,-1.7310000000000003
babylabkingswood,mb8698_babylabkingswood,babylabkingswood:mb8698,2,1,1,hpp,391,12.845995893223819,12-15 mo,FALSE,F,FALSE,FALSE,FALSE,M,16,15,NA,NA,NA,NA,NA,NA,NA,monolingual,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.622,4.731,-1.891
babylabkingswood,mb8721_babylabkingswood,babylabkingswood:mb8721,1,1,1,hpp,430,14.127310061601642,12-15 mo,FALSE,M,FALSE,FALSE,FALSE,M,20,11,NA,NA,NA,NA,NA,NA,NA,monolingual,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.193,18,13.807
babylabkingswood,mb8731_babylabkingswood,babylabkingswood:mb8731,1,1,1,hpp,401,13.174537987679672,12-15 mo,FALSE,M,FALSE,FALSE,FALSE,M,16,15,NA,NA,NA,NA,NA,NA,NA,monolingual,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.797,18,15.203
babylabkingswood,mb8734_babylabkingswood,babylabkingswood:mb8734,3,1,5,hpp,449,14.751540041067761,12-15 mo,FALSE,M,FALSE,FALSE,FALSE,M,18,17,NA,NA,NA,NA,NA,NA,NA,monolingual,18,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.665,3.562,-3.103
babylabkingswood,mb8743_babylabkingswood,babylabkingswood:mb8743,4,1,5,hpp,397,13.043121149897331,12-15 mo,FALSE,F,FALSE,FALSE,FALSE,M,15,19,NA,NA,NA,NA,NA,NA,NA,monolingual,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.514,4.072,-0.44200000000000017
babylabkingswood,mb8767_babylabkingswood,babylabkingswood:mb8767,3,1,5,hpp,372,12.2217659137577,12-15 mo,FALSE,F,FALSE,FALSE,FALSE,M,16,19,NA,NA,NA,NA,NA,NA,NA,monolingual,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.078,18,12.922
babylabkingswood,mb8783_babylabkingswood,babylabkingswood:mb8783,3,1,5,hpp,456,14.981519507186858,12-15 mo,FALSE,M,FALSE,FALSE,FALSE,M,16,16,NA,NA,NA,NA,NA,NA,NA,monolingual,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.333,8.561,3.2279999999999998
babylabkingswood,mb8806_babylabkingswood,babylabkingswood:mb8806,4,1,5,hpp,441,14.48870636550308,12-15 mo,FALSE,F,FALSE,FALSE,FALSE,M,20,15,NA,NA,NA,NA,NA,NA,NA,monolingual,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.331,3.929,-2.4020000000000006
babylabkingswood,mb8823_babylabkingswood,babylabkingswood:mb8823,1,1,1,hpp,388,12.747433264887064,12-15 mo,FALSE,M,FALSE,FALSE,FALSE,M,19,16,NA,NA,NA,NA,NA,NA,NA,monolingual,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.513,15.794,9.281
cdcceu,mb1_cdcceu,cdcceu:mb1,1,1,1,eyetracking,419,13.765913757700206,12-15 mo,FALSE,F,FALSE,FALSE,FALSE,M,NA,NA,0,NA,NA,NA,NA,NA,NA,monolingual,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.754,12.54,8.786
cdcceu,mb2_cdcceu,cdcceu:mb2,2,1,1,eyetracking,371,12.188911704312115,12-15 mo,FALSE,F,FALSE,FALSE,FALSE,M,NA,NA,0,NA,NA,NA,NA,NA,NA,monolingual,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.906,18,0.0940000000000012
cdcceu,mb25_cdcceu,cdcceu:mb25,1,1,1,eyetracking,396,13.010266940451745,12-15 mo,FALSE,F,FALSE,FALSE,FALSE,M,17,17,0,NA,NA,NA,NA,NA,NA,monolingual,17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.254,7.782,5.5280000000000005
cdcceu,mb26_cdcceu,cdcceu:mb26,2,1,1,eyetracking,372,12.2217659137577,12-15 mo,FALSE,F,FALSE,FALSE,FALSE,M,28,24,NA,NA,NA,NA,NA,NA,NA,monolingual,28,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.63,11.514,-4.116000000000001
cdcceu,mb29_cdcceu,cdcceu:mb29,4,1,5,eyetracking,401,13.174537987679672,12-15 mo,FALSE,F,FALSE,FALSE,FALSE,M,17,18,NA,NA,NA,NA,NA,NA,NA,monolingual,17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.726,9.786,1.0599999999999987
cdcceu,mb3_cdcceu,cdcceu:mb3,3,1,5,eyetracking,446,14.652977412731007,12-15 mo,FALSE,F,FALSE,FALSE,FALSE,M,13,11,NA,NA,NA,NA,NA,NA,NA,monolingual,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.07,11.862,6.792
cdcceu,mb30_cdcceu,cdcceu:mb30,1,1,1,eyetracking,402,13.207392197125257,12-15 mo,FALSE,M,FALSE,FALSE,FALSE,M,15,16,0,NA,NA,NA,NA,NA,NA,monolingual,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.874,16.446,8.572000000000003
cdcceu,mb32_cdcceu,cdcceu:mb32,2,1,1,eyetracking,412,13.535934291581109,12-15 mo,FALSE,F,FALSE,FALSE,FALSE,M,19,15,0,NA,NA,NA,NA,NA,NA,monolingual,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.552,17.872,1.3200000000000003
cdcceu,mb33_cdcceu,cdcceu:mb33,3,1,5,eyetracking,372,12.2217659137577,12-15 mo,FALSE,M,FALSE,FALSE,FALSE,M,20,19,0,NA,NA,NA,NA,NA,NA,monolingual,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.482,6.596,4.114
cdcceu,mb34_cdcceu,cdcceu:mb34,4,1,5,eyetracking,377,12.386036960985626,12-15 mo,FALSE,M,FALSE,FALSE,FALSE,M,16,17,0,NA,NA,NA,NA,NA,NA,monolingual,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.278,16.332,0.054000000000002046
cdcceu,mb38_cdcceu,cdcceu:mb38,3,1,5,eyetracking,379,12.451745379876797,12-15 mo,FALSE,M,FALSE,FALSE,FALSE,NA,22,NA,0,NA,NA,NA,NA,NA,NA,monolingual,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.594,13.89,7.296
cdcceu,mb4_cdcceu,cdcceu:mb4,4,1,5,eyetracking,446,14.652977412731007,12-15 mo,FALSE,M,FALSE,FALSE,FALSE,M,13,11,NA,NA,NA,NA,NA,NA,NA,monolingual,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.76,13.934,-1.8260000000000005
infantcogubc,c12_infantcogubc,infantcogubc:c12,1,1,1,eyetracking,227,7.457905544147844,6-9 mo,TRUE,M,FALSE,FALSE,FALSE,M,16,18,NA,NA,NA,NA,NA,NA,NA,monolingual,16,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.22,6.76,2.54
infantcogubc,gb04_infantcogubc,infantcogubc:gb04,1,1,1,eyetracking,272,8.936344969199178,6-9 mo,TRUE,F,FALSE,FALSE,FALSE,M,16,12,NA,NA,NA,NA,NA,NA,NA,monolingual,16,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.6,10.62,-1.9800000000000004
infantcogubc,gh14_infantcogubc,infantcogubc:gh14,3,1,5,eyetracking,220,7.227926078028747,6-9 mo,TRUE,F,FALSE,FALSE,FALSE,M,16,14,NA,NA,NA,NA,NA,NA,NA,monolingual,16,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.18,2.97,-2.2099999999999995
infantcogubc,jr20_infantcogubc,infantcogubc:jr20,1,1,1,eyetracking,212,6.965092402464066,6-9 mo,TRUE,F,FALSE,FALSE,FALSE,M,16,20,NA,NA,NA,NA,NA,NA,NA,monolingual,16,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.34,8.76,3.42
infantcogubc,oj10_infantcogubc,infantcogubc:oj10,3,1,5,eyetracking,224,7.359342915811088,6-9 mo,TRUE,F,FALSE,FALSE,FALSE,M,12,14,NA,NA,NA,NA,NA,NA,NA,monolingual,12,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.83,3.54,-3.29
infantcogubc,sl05_infantcogubc,infantcogubc:sl05,2,1,1,eyetracking,231,7.5893223819301845,6-9 mo,TRUE,F,FALSE,FALSE,FALSE,M,16,14,NA,NA,NA,NA,NA,NA,NA,monolingual,16,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.63,8.15,-5.48
infantcogubc,ss09_infantcogubc,infantcogubc:ss09,2,1,1,eyetracking,213,6.997946611909651,6-9 mo,TRUE,F,FALSE,FALSE,FALSE,M,16,16,NA,NA,NA,NA,NA,NA,NA,monolingual,16,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.47,2.59,-7.880000000000001
infantcogubc,th17_infantcogubc,infantcogubc:th17,2,1,1,eyetracking,251,8.24640657084189,6-9 mo,TRUE,M,FALSE,FALSE,FALSE,M,18,16,NA,NA,NA,NA,NA,NA,NA,monolingual,18,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.62,4.84,-4.779999999999999
infantstudiesubc,mbm1_infantstudiesubc,infantstudiesubc:mbm1,1,1,1,hpp,238,7.819301848049282,6-9 mo,TRUE,M,FALSE,FALSE,FALSE,M,16,14,NA,NA,NA,NA,NA,NA,NA,monolingual,16,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.873533333,17.68433333,10.810799997
infantstudiesubc,mbm10_infantstudiesubc,infantstudiesubc:mbm10,2,1,5,hpp,227,7.457905544147844,6-9 mo,TRUE,M,TRUE,FALSE,FALSE,M,16,16,NA,NA,NA,NA,NA,NA,NA,monolingual,16,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5045,13.27993333,8.77543333
infantstudiesubc,mbm11_infantstudiesubc,infantstudiesubc:mbm11,3,1,5,hpp,189,6.209445585215605,6-9 mo,TRUE,F,FALSE,FALSE,FALSE,M,18,12,NA,NA,NA,NA,NA,NA,NA,monolingual,18,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.91389667,12.14546667,-1.7684300000000004
infantstudiesubc,mbm13_infantstudiesubc,infantstudiesubc:mbm13,1,1,1,hpp,208,6.833675564681725,6-9 mo,TRUE,M,FALSE,FALSE,FALSE,M,18,18,NA,NA,NA,NA,NA,NA,NA,monolingual,18,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.738066667,16.6166,11.878533332999998
infantstudiesubc,mbm14_infantstudiesubc,infantstudiesubc:mbm14,2,1,1,hpp,232,7.62217659137577,6-9 mo,TRUE,F,FALSE,FALSE,FALSE,M,14,12,NA,NA,NA,NA,NA,NA,NA,monolingual,14,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.175833333,2.1021,-7.073733333
infantstudiesubc,mbm15_infantstudiesubc,infantstudiesubc:mbm15,3,1,5,hpp,249,8.180698151950718,6-9 mo,TRUE,M,FALSE,FALSE,FALSE,M,18,12,NA,NA,NA,NA,NA,NA,NA,monolingual,18,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8028,5.071733333,2.268933333
infantstudiesubc,mbm17_infantstudiesubc,infantstudiesubc:mbm17,1,1,1,hpp,230,7.5564681724846,6-9 mo,TRUE,F,FALSE,FALSE,FALSE,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,monolingual,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.41439967,NA
infantstudiesubc,mbm19_infantstudiesubc,infantstudiesubc:mbm19,3,1,5,hpp,255,8.37782340862423,6-9 mo,TRUE,F,FALSE,FALSE,FALSE,M,16,18,NA,NA,NA,NA,NA,NA,NA,monolingual,16,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.775433333,4.170833333,-4.6046000000000005
infantstudiesubc,mbm2_infantstudiesubc,infantstudiesubc:mbm2,2,1,1,hpp,236,7.753593429158111,6-9 mo,TRUE,M,FALSE,FALSE,FALSE,M,16,14,NA,NA,NA,NA,NA,NA,NA,monolingual,16,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.1141,NA,NA
infantstudiesubc,mbm21_infantstudiesubc,infantstudiesubc:mbm21,4,1,5,hpp,262,8.607802874743326,6-9 mo,TRUE,F,FALSE,FALSE,FALSE,M,16,16,NA,NA,NA,NA,NA,NA,NA,monolingual,16,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.58023333,2.5025,-11.077733330000001
